CO,O3,NO2,SO2,PM10,PM2.5,AQI
19,51,55,6,41,46,51
22,67,59,9,39,45,67
23,58,77,11,48,53,58
20,72,62,9,52,64,72
21,50,72,10,61,72,72
14,46,63,8,52,68,68
15,48,62,9,36,55,55
28,97,85,11,52,87,97
26,67,56,10,54,75,75
23,53,66,9,66,79,79
26,35,58,9,57,70,70
27,49,69,9,58,76,76
23,62,73,10,54,68,68
19,51,56,11,55,67,67
14,69,50,11,52,57,69
16,77,58,9,44,55,77
17,79,65,11,47,62,79
27,108,90,11,53,71,108
26,111,102,11,50,70,111
28,104,91,9,46,63,104
20,92,65,8,35,53,92
23,78,73,9,42,58,78
22,61,76,9,45,64,64
19,83,77,9,51,66,83
21,65,63,10,65,79,79
20,114,67,11,71,94,114
19,112,72,11,61,78,112
22,70,70,10,51,64,70
28,56,75,10,50,68,68
20,102,70,9,53,72,102
28,69,77,8,51,68,69
32,64,94,11,56,73,73
35,70,83,10,56,74,74
35,120,96,12,62,88,120
27,96,74,10,70,90,96
34,65,73,10,63,85,85
31,70,77,9,72,92,92
32,119,98,12,77,107,119
33,106,87,10,67,89,106
31,56,79,9,60,79,79
29,73,80,11,61,83,83
30,114,82,12,65,88,114
28,64,69,10,56,76,76
33,92,78,10,56,78,92
36,110,92,12,69,105,110
36,160,105,11,75,113,160
23,127,73,8,94,103,127
22,82,80,13,75,97,97
27,104,67,11,82,102,104
43,134,98,11,75,107,134
36,131,88,10,70,102,131
28,65,80,10,75,95,95
27,75,79,10,77,98,98
33,113,93,14,74,98,113
24,126,82,12,78,96,126
21,66,76,10,75,92,92
23,84,60,10,66,82,84
34,74,86,10,65,86,86
38,122,94,9,66,90,122
37,110,93,11,73,97,110
25,60,70,9,67,81,81
18,37,58,8,62,73,73
24,42,67,9,59,73,73
40,51,74,11,57,74,74
34,74,87,12,55,71,74
32,80,83,12,62,78,80
23,48,74,9,60,72,72
23,39,73,9,53,64,64
25,78,83,12,53,70,78
36,76,92,12,60,79,79
36,84,93,14,60,84,84
33,77,75,16,61,82,82
20,39,60,10,56,66,66
28,45,76,11,74,90,90
31,85,91,11,60,81,85
33,97,94,11,60,74,97
35,149,100,11,64,85,149
37,140,96,11,59,80,140
23,50,78,9,60,66,66
29,57,85,9,77,91,91
35,125,98,11,74,94,125
36,139,102,12,83,106,139
29,101,86,11,79,93,101
32,76,74,11,77,99,99
26,55,62,10,73,87,87
25,67,65,9,66,79,79
35,56,78,12,74,90,90
26,82,83,9,77,86,86
25,99,79,10,59,76,99
21,77,65,11,61,69,77
22,79,80,9,65,77,79
37,88,89,11,62,79,88
34,88,80,10,51,63,88
34,59,90,13,53,63,63
37,58,88,12,55,66,66
38,83,87,13,60,80,83
37,94,88,11,62,80,94
29,95,92,10,62,81,95
33,75,82,10,58,71,75
31,56,75,10,53,67,67
35,62,91,11,57,72,72
34,79,87,13,64,80,80
37,56,88,13,63,83,83
35,46,81,13,61,75,75
28,50,84,11,76,83,83
25,74,79,12,64,80,80
25,71,68,7,54,70,71
21,42,64,10,56,64,64
25,43,68,12,58,75,75
39,49,88,12,65,84,84
22,57,65,9,75,84,84
32,43,68,14,57,74,74
31,51,71,12,55,75,75
33,53,75,11,53,70,70
37,43,76,10,63,78,78
25,58,58,8,84,77,84
20,48,50,10,53,54,54
24,39,51,11,44,51,51
22,39,53,8,57,62,62
24,37,55,13,57,58,58
24,40,61,10,55,58,58
28,41,71,11,58,66,66
34,40,76,12,60,68,68
32,41,73,11,59,66,66
40,39,82,14,65,81,81
45,43,85,14,69,91,91
41,43,84,12,67,89,89
41,55,95,12,66,90,90
42,28,82,12,75,100,100
36,23,67,12,137,121,137
42,31,80,15,88,104,104
46,29,77,13,68,85,85
48,29,81,11,58,69,69
51,25,77,15,77,100,100
39,42,91,13,70,92,92
35,30,86,13,88,94,94
37,25,84,16,86,111,111
30,31,73,13,69,82,82
42,38,90,17,71,98,98
29,42,68,16,70,85,85
41,36,88,17,70,99,99
29,44,71,13,64,84,84
29,34,75,13,57,76,76
39,27,75,18,68,80,80
37,26,69,15,78,90,90
42,28,78,16,64,86,86
35,26,80,17,67,87,87
40,30,68,13,62,79,79
39,31,68,16,60,78,78
38,29,71,17,71,85,85
25,16,54,14,69,72,72
27,26,61,15,64,73,73
34,35,75,14,65,82,82
37,33,76,14,65,81,81
35,35,74,14,64,78,78
34,39,66,13,57,70,70
38,37,79,15,63,87,87
21,19,69,12,60,83,83
23,28,54,12,49,73,73
30,7,56,9,37,67,67
30,9,67,10,53,97,97
22,23,62,9,43,84,84
24,14,46,10,47,93,93
28,11,59,10,48,84,84
20,21,45,11,43,80,80
22,13,46,9,30,54,54
43,22,72,14,54,89,89
33,20,70,11,44,68,68
24,20,57,11,46,76,76
32,26,60,13,48,86,86
40,24,81,15,59,88,88
32,17,62,13,53,73,73
33,17,63,15,59,88,88
35,18,76,18,74,122,122
34,25,71,17,72,123,123
33,27,75,15,74,125,125
36,29,80,15,64,109,109
37,20,87,18,67,101,101
39,21,85,15,73,111,111
52,19,98,18,82,133,133
58,17,100,17,82,131,131
45,16,91,22,95,144,144
29,17,82,17,79,134,134
16,21,44,9,51,57,57
26,8,52,10,36,69,69
21,11,53,9,43,77,77
26,4,54,15,53,108,108
27,6,57,12,42,84,84
33,5,77,11,49,90,90
33,13,70,14,56,97,97
24,12,53,15,57,111,111
27,8,58,15,63,112,112
21,7,50,15,56,108,108
21,8,58,14,60,106,106
29,10,68,16,71,129,129
29,9,76,25,89,150,150
23,8,80,15,91,156,156
33,11,73,18,76,143,143
32,16,76,16,54,95,95
40,10,81,22,74,136,136
30,5,89,19,74,139,139
28,5,68,6,36,69,69
34,10,71,14,56,95,95
37,9,80,16,68,123,123
23,13,59,13,43,78,78
24,15,57,10,38,71,71
33,14,58,11,29,55,55
32,16,74,14,39,66,66
36,12,73,15,58,94,94
29,10,67,16,44,76,76
33,11,65,15,58,106,106
32,10,72,14,61,122,122
38,8,82,23,79,145,145
40,9,91,12,92,157,157
28,12,81,20,88,153,153
28,8,68,13,44,82,82
39,9,81,16,54,95,95
48,9,94,16,63,109,109
40,9,99,17,64,112,112
49,8,95,27,79,139,139
48,9,95,30,85,147,147
46,9,100,20,80,141,141
59,10,108,27,93,148,148
46,10,103,28,96,156,156
54,11,96,20,78,130,130
28,19,96,18,62,110,110
29,14,70,11,45,61,61
32,14,82,14,62,80,80
31,13,76,21,59,86,86
31,8,68,16,60,102,102
23,8,69,13,54,89,89
34,12,73,20,55,95,95
23,14,61,21,57,103,103
20,15,56,10,36,69,69
26,17,67,12,42,69,69
32,14,82,16,57,100,100
34,11,83,21,63,108,108
25,12,76,15,61,108,108
27,16,72,8,42,67,67
31,15,69,15,54,94,94
25,11,62,14,45,71,71
34,8,77,23,60,93,93
23,8,67,21,57,99,99
32,10,76,17,63,107,107
32,12,77,19,59,103,103
25,9,66,21,64,119,119
27,10,56,12,43,79,79
28,5,60,10,52,107,107
28,5,66,10,40,87,87
33,8,82,15,64,118,118
21,10,58,18,63,115,115
24,15,56,12,36,68,68
22,13,56,11,44,71,71
31,18,73,18,62,94,94
26,14,70,19,55,86,86
38,13,86,16,77,118,118
32,16,82,17,67,107,107
36,14,92,24,79,133,133
33,10,93,25,84,147,147
27,18,69,18,62,93,93
37,16,74,17,55,74,74
19,27,43,14,41,45,45
28,20,62,13,40,62,62
41,14,95,19,64,102,102
20,23,85,16,42,63,63
30,21,62,18,43,63,63
35,19,74,17,52,70,70
35,24,72,15,59,73,73
17,28,46,12,51,60,60
17,26,41,9,69,67,69
20,22,42,8,27,44,44
24,25,49,11,32,52,52
25,22,54,15,46,65,65
24,18,64,15,45,64,64
24,29,51,10,43,51,51
22,19,53,14,59,55,59
22,13,63,17,63,74,74
38,11,82,16,71,109,109
32,18,82,21,81,121,121
26,12,59,14,59,80,80
32,7,62,11,41,81,81
31,23,74,13,51,89,89
33,26,73,14,56,98,98
36,30,77,11,58,79,79
22,20,58,11,50,80,80
26,9,49,8,12,30,30
27,10,64,11,44,71,71
36,19,80,15,74,116,116
34,29,85,17,69,121,121
29,31,86,21,81,136,136
19,29,62,14,59,82,82
18,30,43,8,24,43,43
29,21,70,13,42,61,61
29,24,75,14,49,81,81
31,35,75,24,64,108,108
29,44,85,13,58,100,100
19,23,55,16,45,60,60
25,28,63,15,51,70,70
28,26,71,14,50,72,72
31,26,73,13,48,66,66
35,32,94,25,69,110,110
28,31,79,14,59,86,86
19,45,63,18,52,73,73
21,25,58,11,59,63,63
23,31,58,13,56,80,80
20,35,57,9,42,64,64
19,34,51,12,49,73,73
19,27,41,19,53,68,68
24,34,51,10,40,62,62
22,40,47,8,26,44,47
14,39,34,8,32,50,50
16,30,34,13,23,48,48
19,27,39,8,17,37,39
19,31,39,16,26,57,57
17,37,38,17,32,70,70
16,33,37,15,25,49,49
22,38,49,13,36,61,61
15,39,36,11,32,49,49
24,24,45,9,27,58,58
14,41,28,6,15,32,41
18,39,38,11,17,36,39
18,38,34,12,24,49,49
27,36,51,11,62,84,84
23,41,49,10,47,66,66
15,35,38,8,27,48,48
22,36,47,14,30,46,47
25,35,71,18,51,77,77
25,20,47,9,20,48,48
19,24,39,8,20,48,48
23,11,42,9,16,44,44
23,11,43,9,29,67,67
27,27,63,11,37,63,63
17,41,55,10,25,43,55
17,35,44,17,34,56,56
20,40,56,15,44,74,74
23,42,62,16,46,78,78
23,50,64,12,41,64,64
26,49,63,15,29,48,63
22,46,64,17,31,59,64
25,51,72,11,41,67,72
23,77,72,19,45,72,77
28,45,69,14,45,62,69
24,37,53,18,57,74,74
22,32,49,14,42,64,64
31,38,66,18,65,79,79
22,32,54,18,62,81,81
24,17,51,10,52,74,74
22,38,59,13,35,52,59
22,35,58,11,30,51,58
17,40,46,12,36,55,55
25,34,55,14,33,56,56
29,40,64,12,37,58,64
17,36,49,10,37,53,53
30,32,70,15,45,69,70
28,39,62,14,47,61,62
24,43,60,15,76,88,88
17,34,45,10,79,89,89
14,39,36,7,28,43,43
25,48,60,12,37,57,60
17,84,65,14,43,60,84
17,41,50,13,84,91,91
17,41,49,9,57,64,64
19,34,49,13,45,52,52
23,40,63,22,41,59,63
19,55,50,20,42,58,58
23,83,65,16,44,68,83
29,56,71,26,55,79,79
21,74,56,21,57,80,80
28,63,74,24,72,98,98
16,44,45,12,47,70,70
23,31,61,17,44,78,78
32,149,95,17,65,130,149
26,150,85,19,57,90,150
22,46,62,17,53,75,75
14,59,47,12,53,70,70
19,49,58,15,55,73,73
21,51,57,15,65,85,85
18,56,61,16,53,73,73
18,64,59,17,47,68,68
26,59,75,13,47,66,75
26,54,71,14,57,75,75
33,43,84,22,52,75,84
32,48,83,26,43,61,83
24,40,64,17,65,88,88
19,55,48,12,57,76,76
28,55,64,12,49,70,70
25,43,70,12,46,64,70
18,47,60,14,62,73,73
18,79,67,17,59,74,79
22,105,84,21,70,88,105
22,47,74,17,53,73,74
18,58,70,14,49,67,70
23,92,76,20,48,64,92
31,62,84,16,52,74,84
31,79,88,19,53,77,88
25,104,87,19,55,80,104
24,113,84,15,63,82,113
20,86,60,20,57,76,86
18,111,78,19,61,82,111
30,63,71,19,60,81,81
30,56,78,18,61,80,80
22,68,80,16,61,73,80
19,57,68,14,59,72,72
18,84,63,14,58,76,84
29,135,97,30,63,101,135
33,141,94,21,63,95,141
32,113,97,15,70,98,113
22,132,66,11,72,88,132
20,110,80,19,71,94,110
24,53,63,18,70,91,91
22,85,67,16,72,92,92
28,149,96,28,67,104,149
21,97,73,14,66,90,97
27,116,82,13,89,115,116
26,105,81,15,80,106,106
20,139,81,24,78,113,139
17,69,60,17,61,86,86
21,77,79,25,57,84,84
24,119,89,18,55,82,119
25,115,90,14,55,83,115
23,131,72,12,58,90,131
24,133,69,17,56,82,133
18,54,58,19,59,78,78
18,48,58,14,50,76,76
16,73,62,13,60,72,73
19,119,82,14,52,76,119
20,122,69,14,50,77,122
19,122,65,17,51,77,122
26,129,79,18,46,76,129
26,161,96,19,49,77,161
31,142,100,24,54,82,142
28,114,95,23,53,77,114
29,151,95,17,53,78,151
30,103,92,14,47,69,103
24,118,87,14,58,80,118
17,88,66,10,56,77,88
24,104,83,14,58,84,104
28,110,85,15,48,74,110
24,81,92,17,52,74,92
30,90,92,16,56,81,92
33,80,96,17,58,83,96
20,129,64,11,69,83,129
15,87,53,14,43,63,87
22,67,65,15,50,70,70
29,81,93,17,55,81,93
20,121,70,12,56,74,121
19,81,63,13,56,72,81
23,44,71,14,70,81,81
18,76,57,10,62,73,76
18,113,60,13,58,70,113
20,106,70,18,55,72,106
30,66,81,19,57,74,81
35,102,89,25,64,82,102
29,108,89,26,65,85,108
34,76,87,19,70,91,91
35,128,89,17,68,91,128
32,126,84,15,67,89,126
21,115,70,13,77,86,115
26,96,85,16,72,91,96
19,72,67,18,67,79,79
25,46,70,26,59,74,74
33,46,75,24,65,83,83
32,75,88,33,60,84,88
31,67,72,28,63,81,81
29,98,91,27,61,82,98
23,50,73,14,80,82,82
18,42,65,25,78,78,78
21,42,67,40,59,71,71
22,65,81,53,55,75,81
27,56,75,42,51,73,75
32,72,85,50,50,73,85
27,114,77,70,54,79,114
22,87,70,66,50,74,87
20,68,71,70,54,76,76
27,60,85,76,55,81,85
33,65,87,30,58,85,87
31,69,83,28,51,75,83
29,45,73,22,45,63,73
32,40,81,19,53,76,81
38,60,94,26,59,79,94
23,82,79,19,62,80,82
35,79,88,23,68,97,97
33,48,81,20,68,97,97
26,73,79,35,71,104,104
28,55,72,28,63,86,86
27,70,75,23,57,79,79
25,62,78,21,61,85,85
31,43,72,19,62,81,81
25,69,81,24,64,90,90
34,51,79,32,61,87,87
33,42,69,30,56,84,84
33,42,73,29,55,80,80
32,102,81,28,63,89,102
31,40,71,21,60,84,84
32,37,74,25,64,93,93
28,47,74,30,64,92,92
29,33,61,17,61,81,81
39,34,66,21,62,82,82
37,36,74,30,62,83,83
41,41,87,25,68,100,100
23,34,60,20,68,93,93
21,32,43,22,76,81,81
17,29,48,20,51,67,67
24,26,57,25,53,71,71
38,35,75,26,63,88,88
33,57,63,23,64,88,88
19,27,52,20,61,77,77
19,27,52,16,67,78,78
25,26,52,16,39,60,60
18,28,54,17,48,67,67
20,22,48,19,41,66,66
19,25,54,14,31,62,62
28,13,51,12,32,63,63
30,23,70,18,58,110,110
33,55,84,21,64,115,115
37,54,90,23,67,118,118
37,57,93,26,70,120,120
45,53,91,22,69,115,115
42,55,93,27,69,123,123
36,72,97,31,67,126,126
35,69,95,29,62,105,105
39,55,83,24,59,89,89
45,54,91,22,62,95,95
42,54,95,27,65,104,104
39,55,90,30,65,98,98
39,55,83,20,63,101,101
34,56,85,28,63,101,101
37,54,81,24,63,96,96
37,66,93,28,69,113,113
40,55,94,31,68,107,107
34,54,94,29,74,110,110
44,53,80,34,63,91,91
40,56,70,23,60,87,87
44,55,85,20,62,98,98
43,60,99,27,73,124,124
53,55,95,31,65,107,107
49,54,96,36,80,135,135
39,61,97,30,75,125,125
38,24,86,23,65,97,97
35,23,71,18,63,90,90
38,20,77,22,61,91,91
21,25,71,26,56,80,80
31,14,46,21,45,68,68
32,14,67,21,66,98,98
32,13,76,16,49,99,99
26,8,65,13,42,81,81
20,8,48,14,37,76,76
20,8,46,11,22,54,54
22,12,50,15,39,82,82
24,14,49,17,43,80,80
22,11,53,20,43,76,76
29,10,63,20,53,104,104
23,12,56,26,45,89,89
21,15,50,22,35,69,69
25,14,50,19,30,69,69
26,6,49,13,27,75,75
24,5,50,45,43,87,87
24,6,51,52,55,108,108
21,8,53,34,56,115,115
24,10,53,45,68,131,131
25,8,57,47,68,123,123
35,9,55,42,49,82,82
24,5,55,36,47,79,79
30,6,59,15,25,62,62
37,9,75,28,60,108,108
42,11,87,42,83,143,143
27,8,96,43,81,146,146
28,5,59,33,58,119,119
30,12,57,60,60,114,114
23,18,56,45,49,96,96
24,9,50,13,21,60,60
33,8,60,18,35,76,76
35,7,70,29,62,114,114
35,9,75,30,72,133,133
33,7,70,31,68,127,127
30,11,60,24,54,98,98
32,9,65,39,66,121,121
31,8,59,52,75,134,134
26,10,58,44,72,134,134
25,10,70,35,75,136,136
37,5,74,38,67,134,134
31,6,78,46,75,144,144
23,10,67,42,62,126,126
32,8,64,22,54,108,108
30,11,60,39,53,101,101
29,13,68,36,64,124,124
31,9,75,41,78,146,146
29,8,68,53,64,131,131
20,15,66,23,39,82,82
30,14,66,16,29,53,66
39,9,89,44,68,119,119
43,8,91,63,73,139,139
44,7,93,48,76,145,145
43,7,98,65,102,167,167
54,7,103,40,102,168,168
42,9,97,60,90,160,160
46,11,98,38,83,158,158
51,8,103,85,87,158,158
42,9,103,38,86,151,151
29,9,71,33,57,91,91
31,11,69,25,67,115,115
37,10,88,32,82,144,144
33,9,85,36,87,151,151
34,13,84,29,79,149,149
42,11,93,29,86,153,153
51,10,104,38,102,166,166
46,8,103,53,107,169,169
43,8,100,43,115,174,174
42,10,98,43,112,169,169
30,12,88,30,93,152,152
47,13,88,24,72,119,119
30,18,77,21,62,93,93
32,17,76,19,58,91,91
20,62,55,15,45,65,65
29,21,72,49,48,68,72
24,17,60,32,51,78,78
24,16,45,13,29,52,52
23,16,50,24,46,64,64
30,16,73,21,51,76,76
38,12,87,27,70,109,109
39,10,95,46,88,150,150
40,9,93,35,83,141,141
46,12,95,66,84,139,139
32,11,81,55,87,145,145
23,13,85,53,60,107,107
23,21,58,21,34,53,58
32,13,72,26,40,62,72
37,18,78,25,55,88,88
42,19,94,29,73,131,131
37,21,94,33,77,136,136
31,50,86,22,71,124,124
22,19,66,15,49,81,81
27,16,60,14,34,66,66
39,6,81,17,56,112,112
42,17,96,27,73,122,122
43,13,96,31,66,99,99
33,18,74,27,56,85,85
27,53,57,23,44,72,72
37,23,71,22,47,72,72
44,22,84,23,59,92,92
39,22,84,28,58,90,90
39,51,88,31,61,100,100
25,52,78,30,60,92,92
23,22,68,21,51,67,68
23,33,51,12,31,51,51
24,28,59,14,30,55,59
25,25,60,19,37,57,60
26,24,62,16,39,60,62
22,27,56,21,41,60,60
24,24,55,25,43,60,60
25,16,55,16,55,69,69
19,22,42,11,72,76,76
27,24,65,20,64,82,82
30,28,77,27,73,117,117
31,27,84,30,70,113,113
27,30,66,23,59,90,90
27,26,62,18,52,73,73
19,30,49,16,41,64,64
19,51,55,18,44,67,67
22,32,56,16,30,54,56
30,25,71,33,50,76,76
29,24,67,29,53,76,76
25,53,70,21,54,81,81
18,33,45,24,39,63,63
25,26,51,24,57,83,83
26,18,45,13,50,76,76
23,13,41,9,18,49,49
27,16,55,17,52,90,90
24,52,68,24,71,134,134
28,16,78,30,80,141,141
27,50,81,33,94,153,153
26,20,51,14,84,119,119
22,27,53,16,65,87,87
15,31,37,9,26,43,43
20,37,48,11,27,43,48
25,36,53,13,28,48,53
19,53,47,11,53,73,73
21,88,41,11,69,89,89
29,54,50,16,86,112,112
15,61,31,11,100,123,123
21,57,50,13,83,96,96
14,54,25,8,74,82,82
19,50,47,12,35,49,50
20,52,51,20,50,62,62
23,37,54,14,44,55,55
22,29,58,20,52,68,68
30,22,68,25,59,81,81
24,55,51,15,60,76,76
17,51,47,12,47,56,56
26,54,60,17,43,60,60
23,52,63,16,45,61,63
27,27,57,18,73,94,94
30,52,70,23,78,108,108
25,57,68,28,78,112,112
26,53,62,15,68,92,92
18,53,48,23,72,91,91
19,58,49,15,57,77,77
22,81,56,13,56,72,81
21,52,56,14,63,77,77
20,37,52,14,60,78,78
20,77,52,18,42,60,77
19,54,53,18,43,61,61
21,61,77,24,59,80,80
26,62,78,18,52,68,78
27,60,65,21,66,85,85
31,63,78,23,66,91,91
21,56,58,24,64,87,87
19,56,55,14,67,82,82
21,57,58,21,66,88,88
19,52,52,17,51,70,70
21,56,65,17,55,76,76
19,56,58,13,59,78,78
17,57,52,12,68,87,87
17,55,51,11,56,77,77
20,55,51,12,46,63,63
25,81,77,14,46,69,81
19,66,47,13,46,64,66
20,53,49,13,43,62,62
18,56,48,13,37,59,59
20,59,62,21,40,66,66
22,57,64,15,43,64,64
19,54,49,11,45,66,66
17,53,56,13,42,65,65
19,58,63,16,50,75,75
24,57,74,16,47,69,74
16,63,52,15,47,68,68
19,55,52,12,46,69,69
18,61,51,12,57,77,77
14,88,44,9,49,69,88
19,58,56,13,39,65,65
20,57,61,15,40,58,61
23,58,66,14,43,62,66
23,62,77,15,54,67,77
29,57,65,18,61,75,75
24,60,57,19,54,67,67
27,55,71,17,48,65,71
27,61,64,15,43,58,64
27,56,69,19,47,59,69
20,58,69,16,68,84,84
21,55,61,18,62,82,82
19,38,56,14,57,74,74
17,53,53,11,55,75,75
21,72,65,14,44,67,72
27,99,79,16,44,68,99
26,57,73,14,41,65,73
32,80,83,20,49,67,83
26,59,78,14,45,58,78
28,56,85,17,49,61,85
30,55,76,18,57,75,76
29,102,87,17,59,80,102
21,60,54,14,42,59,60
20,52,60,15,57,71,71
23,56,66,16,60,73,73
27,61,75,19,61,66,75
28,103,87,20,55,69,103
28,89,88,19,59,73,89
26,78,67,17,55,69,78
34,80,82,25,52,68,82
32,137,95,23,69,95,137
27,105,90,19,65,81,105
24,91,80,13,70,83,91
30,120,93,22,67,94,120
17,97,69,28,61,82,97
34,111,80,16,66,92,111
22,75,68,16,61,76,76
18,56,62,16,60,69,69
27,56,67,15,61,81,81
30,83,76,17,65,86,86
29,101,90,16,59,77,101
29,107,88,16,55,72,107
27,92,82,19,54,75,92
25,100,80,18,54,76,100
25,92,75,14,56,73,92
20,98,72,11,56,73,98
24,71,73,15,54,70,73
22,57,63,15,54,70,70
19,98,64,19,60,82,98
19,88,57,15,55,80,88
26,65,71,16,56,80,80
28,75,77,22,62,93,93
31,68,88,18,60,86,88
40,64,94,16,63,90,94
36,98,99,17,66,99,99
34,123,89,27,65,97,123
28,162,83,14,88,113,162
23,128,67,13,104,116,128
27,73,72,17,124,138,138
32,144,96,16,93,124,144
26,131,86,16,94,122,131
23,94,64,13,100,121,121
21,77,63,14,96,111,111
19,90,55,12,109,111,111
20,88,57,17,76,95,95
23,101,66,17,57,86,101
18,91,63,16,54,80,91
31,67,68,19,47,79,79
28,132,88,18,50,76,132
32,116,89,18,46,72,116
31,91,82,17,50,76,91
36,105,81,18,55,84,105
29,71,65,20,60,85,85
32,76,74,20,63,86,86
30,142,79,16,57,79,142
26,66,68,16,58,77,77
22,63,52,14,94,98,98
19,63,39,14,58,70,70
19,56,56,15,53,70,70
20,63,53,14,49,71,71
19,76,53,13,59,73,76
19,75,52,17,63,80,80
23,69,65,20,49,70,70
24,81,64,19,50,73,81
22,114,72,21,50,70,114
23,114,72,20,44,71,114
31,59,63,16,51,67,67
27,59,67,15,48,66,67
25,64,72,14,51,66,72
29,69,85,15,55,74,85
26,63,85,17,56,76,85
38,75,87,20,54,74,87
27,69,74,16,60,78,78
27,75,68,21,62,87,87
23,72,56,25,60,84,84
26,66,66,25,56,73,73
26,75,59,22,58,80,80
21,114,59,24,53,76,114
29,79,64,18,52,71,79
27,72,72,20,57,76,76
26,63,73,17,58,75,75
25,63,75,17,57,79,79
21,68,74,17,56,79,79
29,109,82,17,56,78,109
33,58,76,17,56,77,77
35,58,79,20,60,82,82
22,99,74,17,59,77,99
27,80,70,21,66,85,85
31,84,82,18,63,83,84
32,104,90,20,65,85,104
35,67,93,16,65,82,93
34,66,74,19,57,75,75
38,70,80,17,60,83,83
37,58,74,16,79,93,93
31,73,88,16,77,98,98
36,65,71,16,96,119,119
28,56,62,15,68,82,82
32,55,72,19,71,87,87
28,62,61,20,65,79,79
30,60,56,18,74,90,90
33,59,61,18,69,84,84
33,57,72,18,70,86,86
35,54,72,16,66,81,81
33,55,68,15,59,76,76
35,54,72,15,60,77,77
31,56,75,19,58,71,75
34,57,77,18,61,76,77
38,62,85,19,63,78,85
31,62,79,18,68,84,84
36,60,80,20,65,84,84
36,59,82,22,70,93,93
36,57,84,26,72,96,96
42,59,76,19,70,90,90
37,55,68,20,84,113,113
41,60,84,22,68,93,93
29,53,71,18,67,74,74
27,60,56,13,130,122,130
31,55,67,18,101,112,112
38,53,82,19,92,112,112
36,59,80,18,84,109,109
36,66,86,21,83,110,110
27,56,65,16,74,94,94
29,55,60,23,67,85,85
30,55,68,20,68,84,84
34,53,69,17,68,88,88
30,56,73,20,66,83,83
23,54,67,16,62,77,77
24,26,50,14,76,85,85
24,25,50,15,59,67,67
26,23,59,19,60,73,73
25,53,60,22,56,70,70
34,54,77,22,64,86,86
40,58,84,26,72,105,105
54,56,95,22,73,105,105
33,57,75,22,70,88,88
44,57,84,29,64,87,87
43,53,76,25,69,88,88
41,25,75,21,66,88,88
28,26,68,18,65,79,79
44,22,75,25,65,91,91
25,24,52,26,59,70,70
25,23,50,57,54,69,69
29,23,59,84,51,72,84
36,20,67,49,59,80,80
27,29,65,27,53,72,72
44,22,87,57,67,108,108
27,54,73,20,74,86,86
32,18,62,44,65,82,82
36,18,66,79,64,93,93
24,20,65,71,56,82,82
44,18,79,22,56,97,97
39,14,90,74,62,111,111
49,19,93,50,80,134,134
45,56,96,40,83,136,136
31,13,76,32,58,84,84
21,15,40,24,26,53,53
29,7,45,12,21,54,54
25,12,46,11,26,56,56
32,13,63,15,47,80,80
40,16,87,23,68,124,124
44,18,93,20,72,127,127
41,16,91,33,78,140,140
20,27,62,19,46,82,82
31,21,61,14,30,63,63
42,11,79,24,63,114,114
45,11,91,47,84,145,145
43,13,90,37,75,132,132
27,8,74,20,56,91,91
22,8,47,23,48,74,74
34,11,64,24,68,118,118
40,16,83,28,73,135,135
36,13,80,29,82,150,150
56,6,93,33,97,165,165
43,9,91,38,75,137,137
41,13,91,51,61,110,110
44,14,95,33,65,115,115
42,12,89,55,74,132,132
35,20,77,31,59,110,110
38,16,82,23,57,92,92
50,11,100,48,83,144,144
47,12,102,43,92,158,158
49,13,107,31,90,151,151
57,10,105,53,106,163,163
19,19,58,14,39,64,64
31,14,74,16,40,73,74
44,10,102,29,73,128,128
40,59,100,59,88,157,157
48,7,99,24,80,145,145
46,10,98,36,75,135,135
44,12,94,49,79,140,140
38,12,91,51,85,148,148
37,19,83,20,53,82,83
45,12,98,34,71,118,118
51,66,107,52,87,147,147
40,10,99,45,87,148,148
39,12,93,43,84,148,148
34,10,79,28,68,121,121
36,12,81,36,70,125,125
27,11,82,53,68,125,125
35,7,87,16,45,102,102
45,10,101,22,69,125,125
27,9,86,33,58,105,105
23,20,60,16,63,75,75
26,20,62,17,42,59,62
25,18,62,22,38,62,62
28,16,65,22,44,79,79
32,20,75,19,37,64,75
39,11,93,28,62,105,105
39,9,94,35,74,135,135
37,9,94,39,78,136,136
46,7,105,32,82,144,144
34,11,89,44,72,133,133
39,11,89,29,71,134,134
29,9,89,77,67,125,125
28,7,64,18,52,108,108
29,11,64,27,43,78,78
33,15,73,23,49,80,80
27,16,63,18,38,62,63
42,12,90,29,62,113,113
44,12,91,33,69,132,132
52,9,101,53,85,149,149
43,11,93,44,76,134,134
33,9,87,31,81,146,146
34,9,92,37,80,142,142
43,15,81,34,53,90,90
37,11,84,36,61,111,111
21,11,60,19,39,72,72
19,22,59,15,29,56,59
21,19,57,16,29,61,61
19,21,54,12,27,54,54
39,16,93,33,54,85,93
35,12,89,31,65,111,111
14,24,61,20,40,66,66
33,17,74,42,39,71,74
38,10,90,50,66,123,123
47,10,102,58,82,144,144
58,10,111,53,90,148,148
35,11,105,52,93,143,143
23,13,80,28,73,105,105
28,27,67,22,30,62,67
29,22,73,21,49,73,73
26,18,74,39,70,93,93
25,20,68,23,41,63,68
31,15,85,28,57,91,91
40,7,92,20,63,131,131
44,16,106,28,70,133,133
33,12,105,30,76,138,138
35,19,95,27,70,127,127
19,25,55,23,27,51,55
21,23,59,29,34,61,61
