CO,O3,NO2,SO2,PM10,PM2.5,AQI
46,15,67,28,62,117,117
38,19,58,26,56,104,104
50,12,75,39,66,112,112
50,17,73,35,79,134,134
45,13,71,25,52,99,99
48,12,73,22,48,97,97
45,15,76,30,62,115,115
33,20,60,26,46,93,93
44,24,68,25,40,68,68
53,15,74,30,58,102,102
58,18,86,29,59,110,110
57,11,84,37,89,152,152
52,16,84,36,84,146,146
44,16,69,28,70,122,122
47,19,73,30,68,119,119
56,18,79,34,72,132,132
45,18,74,32,67,120,120
51,19,67,30,59,101,101
43,27,58,24,48,71,71
41,25,59,24,43,68,68
53,27,71,26,49,80,80
47,21,76,32,67,113,113
43,21,72,27,65,104,104
28,23,47,21,60,95,95
36,23,48,29,46,70,70
41,21,57,25,53,87,87
34,24,59,30,48,80,80
62,21,79,34,66,110,110
61,17,84,45,83,144,144
52,15,80,42,88,145,145
44,20,65,30,64,102,102
50,22,76,32,56,99,99
38,22,64,33,55,90,90
33,23,52,27,40,72,72
38,21,57,31,52,92,92
48,17,73,39,73,135,135
50,16,97,42,73,133,133
38,14,84,41,68,116,116
31,23,53,27,50,81,81
40,20,61,28,46,87,87
45,23,74,32,61,106,106
36,19,70,41,62,112,112
53,17,79,37,77,137,137
41,17,75,37,72,124,124
43,21,75,33,60,112,112
32,26,51,25,34,68,68
39,25,55,28,39,59,59
40,21,64,32,52,89,89
55,22,84,37,69,124,124
51,25,80,35,73,129,129
57,28,84,37,82,130,130
37,30,54,21,42,61,61
45,27,66,28,43,71,71
55,25,74,33,58,97,97
47,18,60,32,47,71,71
43,19,65,31,86,128,128
44,13,50,20,50,80,80
36,15,46,19,45,65,65
34,28,45,18,66,95,95
42,34,60,22,73,106,106
39,24,60,25,89,123,123
37,31,58,25,66,98,98
36,27,57,24,54,88,88
37,28,65,24,76,115,115
29,28,48,21,35,59,59
34,26,53,23,40,72,72
31,23,45,21,23,45,45
37,29,52,21,50,70,70
36,23,55,22,52,80,80
37,24,61,25,60,86,86
32,21,60,28,55,90,90
33,18,57,28,51,90,90
36,19,55,20,46,84,84
39,28,70,30,55,97,97
44,34,75,32,65,116,116
33,35,71,29,59,99,99
29,32,60,26,44,71,71
27,31,53,25,36,53,53
29,28,54,24,32,50,50
26,27,46,20,41,48,48
38,26,62,29,68,90,90
46,24,77,42,71,118,118
44,24,78,35,68,111,111
28,26,54,21,157,150,157
29,17,60,20,40,71,71
38,21,77,28,70,126,126
43,28,88,33,74,132,132
50,30,85,28,58,106,106
43,30,83,34,63,109,109
29,32,61,24,34,59,59
36,31,65,25,38,66,66
34,29,66,26,56,103,103
36,29,66,22,49,79,79
26,28,48,22,39,65,65
48,20,56,19,34,61,61
24,27,51,20,31,51,51
29,30,45,18,14,29,30
28,30,52,20,18,29,30
30,29,60,27,30,53,53
24,29,49,17,20,33,33
31,28,53,19,22,43,43
36,36,63,23,31,61,61
44,37,69,25,39,71,71
35,39,65,23,33,55,55
31,27,52,20,28,51,51
26,29,47,17,19,28,30
37,32,64,24,23,45,45
39,39,65,21,26,48,48
39,32,64,21,34,57,57
32,37,56,22,27,41,41
40,32,60,23,39,51,51
37,30,65,24,43,61,61
38,34,59,22,39,50,50
35,33,55,21,43,59,59
45,33,66,22,48,69,69
28,32,47,20,51,70,70
32,20,48,22,30,58,58
36,18,53,23,56,84,84
23,33,45,24,52,58,58
25,30,51,25,29,43,43
37,31,62,21,38,51,51
40,24,61,21,69,109,109
28,37,58,23,86,120,120
34,36,60,22,63,101,101
32,34,58,22,44,62,62
35,33,63,22,51,69,69
43,31,57,22,74,100,100
26,32,48,21,104,131,131
34,30,56,20,69,105,105
23,34,49,19,79,109,109
27,36,53,19,46,56,56
34,31,67,22,45,63,63
40,34,69,22,49,67,67
35,32,62,23,55,85,85
36,32,61,22,63,92,92
51,31,61,24,79,120,120
43,33,52,20,73,110,110
36,28,56,20,62,91,91
35,31,66,20,42,60,60
39,33,70,21,36,51,51
28,31,58,23,53,80,80
34,34,62,23,45,76,76
31,31,57,20,36,55,55
41,35,63,26,36,60,60
27,36,49,24,52,76,76
30,36,57,26,46,67,67
28,32,46,24,45,68,68
43,37,65,26,59,82,82
40,37,55,24,63,96,96
27,27,43,22,75,114,114
26,27,47,16,62,87,87
29,43,54,21,41,58,58
36,48,73,25,52,77,77
35,39,62,23,43,65,65
37,32,65,23,50,70,70
42,35,62,24,75,104,104
32,37,59,20,63,84,84
27,43,56,22,47,70,70
29,27,56,21,46,72,72
38,37,61,24,52,83,83
38,41,59,23,51,75,75
34,38,65,21,48,74,74
29,29,52,21,60,84,84
36,37,51,22,68,98,98
30,25,39,19,107,144,144
31,30,44,20,54,90,90
34,38,55,21,60,91,91
38,38,50,23,65,100,100
24,28,42,21,76,106,106
23,30,36,23,64,91,91
34,35,47,22,51,78,78
27,28,46,20,56,78,78
34,31,54,24,55,84,84
34,32,50,24,130,162,162
35,43,57,23,92,132,132
30,27,47,22,83,120,120
29,44,48,22,66,105,105
28,37,42,21,61,95,95
53,36,53,23,62,95,95
32,50,57,25,103,140,140
41,54,57,23,90,133,133
35,33,48,24,106,146,146
42,46,59,23,95,131,131
37,43,62,23,66,102,102
32,41,47,22,57,91,91
43,45,58,22,45,78,78
35,62,68,22,54,82,82
51,54,66,25,68,107,107
46,65,66,26,84,125,125
36,62,54,22,72,112,112
37,48,47,21,64,103,103
32,39,42,23,57,85,85
43,46,52,23,73,107,107
38,48,61,23,84,127,127
45,53,72,26,78,121,121
42,52,70,24,80,124,124
42,35,65,27,80,117,117
40,40,66,27,74,107,107
50,47,52,25,59,86,86
46,38,58,23,60,83,83
32,49,62,23,96,130,130
43,55,66,23,70,103,103
34,39,67,25,62,96,96
37,48,65,25,59,88,88
49,46,64,25,60,91,91
39,47,58,25,54,77,77
38,49,59,26,57,77,77
34,52,59,24,57,77,77
41,50,71,27,58,85,85
53,45,79,29,59,85,85
43,43,69,25,60,83,83
36,46,71,24,65,85,85
35,54,66,24,91,103,103
28,50,59,24,89,114,114
27,40,48,26,109,127,127
29,37,54,24,82,111,111
26,52,55,25,77,92,92
34,52,69,27,60,80,80
35,62,69,26,55,73,73
35,67,63,25,64,79,79
37,66,65,29,47,73,73
37,52,72,22,52,71,71
40,46,69,25,50,77,77
33,66,68,23,47,71,71
55,45,71,24,52,82,82
35,64,72,25,52,76,76
35,53,63,25,49,73,73
44,62,78,27,48,75,75
44,74,78,25,53,83,83
34,69,74,23,54,75,75
27,49,58,23,51,67,67
39,53,68,24,53,77,77
32,65,68,25,49,73,73
34,68,76,24,50,73,73
32,44,62,26,46,68,68
39,36,61,26,68,91,91
33,46,56,25,154,146,154
28,38,53,23,64,80,80
42,53,72,25,58,79,79
40,66,74,27,59,84,84
42,61,78,24,56,78,78
44,67,75,28,52,72,72
51,59,77,26,59,87,87
43,47,71,27,52,72,72
41,57,77,28,53,68,68
43,49,74,29,61,81,81
48,47,74,32,63,86,86
44,48,69,30,60,79,79
43,55,65,28,76,98,98
45,52,69,26,89,114,114
45,47,65,24,72,99,99
47,40,68,26,73,99,99
31,47,66,22,107,111,111
43,44,63,26,76,93,93
34,42,56,22,72,86,86
38,41,61,24,58,80,80
34,39,58,23,57,80,80
39,39,59,25,61,79,79
28,35,56,23,252,187,252
29,34,55,24,74,93,93
33,46,58,22,64,84,84
44,43,60,21,60,85,85
42,55,65,24,54,77,77
50,52,69,25,61,83,83
29,39,61,25,53,70,70
31,42,59,25,76,95,95
35,41,60,25,64,89,89
31,44,55,25,57,83,83
38,42,58,24,56,83,83
39,52,72,24,53,84,84
33,50,59,23,49,76,76
32,40,53,24,50,65,65
36,40,58,26,65,79,79
28,41,52,24,58,84,84
29,41,56,25,52,75,75
25,48,45,25,54,74,74
29,42,42,27,37,58,58
35,32,52,26,42,65,65
40,39,66,30,60,93,93
50,53,75,30,64,99,99
64,53,77,27,67,101,101
68,49,81,25,65,90,90
48,43,60,24,49,68,68
40,34,59,27,46,66,66
36,31,57,26,49,71,71
35,30,57,25,50,66,66
35,33,62,26,50,73,73
42,31,56,26,54,70,70
54,31,64,28,67,91,91
33,28,50,22,53,84,84
53,33,64,23,52,81,81
35,39,61,24,75,95,95
27,23,58,24,68,91,91
48,27,55,24,61,85,85
53,31,68,24,64,97,97
42,23,60,25,79,107,107
41,25,46,21,82,111,111
46,23,51,23,51,72,72
42,27,58,23,50,71,71
52,29,65,23,51,78,78
54,31,73,23,57,84,84
55,38,80,23,60,94,94
54,29,71,24,58,85,85
37,19,55,18,52,66,66
43,23,47,21,70,87,87
33,18,41,20,33,59,59
41,25,53,20,51,95,95
48,39,64,19,66,114,114
38,32,55,23,51,84,84
54,23,59,20,57,81,81
29,15,51,18,47,80,80
35,28,43,19,48,78,78
47,38,52,21,46,75,75
58,34,64,22,70,116,116
50,36,70,23,68,109,109
32,26,53,24,52,75,75
41,14,59,17,54,80,80
37,13,41,15,41,74,74
33,24,55,18,42,76,76
34,21,45,19,40,61,61
29,18,32,19,26,54,54
33,15,38,21,23,52,52
35,18,54,22,45,95,95
50,25,69,25,69,125,125
41,24,67,26,70,132,132
43,22,67,27,77,146,146
32,32,50,24,57,118,118
33,28,43,23,57,109,109
40,25,40,21,31,56,56
35,25,42,22,29,49,49
32,23,40,18,22,34,34
41,19,44,21,35,59,59
48,24,56,23,47,77,77
39,24,50,21,43,64,64
52,22,61,24,60,88,88
52,25,64,29,70,111,111
54,7,70,31,77,126,126
37,15,54,19,44,77,77
32,23,55,16,33,55,55
43,29,51,20,36,62,62
46,26,64,24,53,98,98
64,19,86,29,74,130,130
64,27,79,28,73,130,130
57,18,74,27,69,124,124
56,16,74,28,66,125,125
54,19,73,29,71,134,134
47,25,71,25,57,107,107
60,20,67,33,65,126,126
47,25,63,24,56,105,105
51,24,56,25,54,82,82
40,13,59,18,39,67,67
41,8,50,16,20,41,41
42,19,58,18,43,77,77
41,24,43,20,33,42,42
32,24,51,23,43,79,79
42,15,49,24,32,73,73
46,19,57,20,40,81,81
49,14,69,27,79,138,138
32,23,60,26,63,125,125
23,10,38,21,46,98,98
26,10,35,20,53,103,103
36,19,49,26,65,143,143
39,22,66,27,86,162,162
39,17,61,20,67,143,143
45,21,67,24,54,110,110
42,29,60,28,69,125,125
38,13,57,28,87,148,148
36,31,52,26,66,142,142
42,25,62,28,71,141,141
37,32,45,25,66,134,134
39,25,60,25,61,124,124
49,25,67,32,75,139,139
34,24,66,34,73,144,144
36,26,58,31,74,132,132
38,27,63,29,73,132,132
41,27,65,29,69,137,137
46,24,70,26,68,133,133
48,13,75,33,86,157,157
49,31,67,32,82,160,160
41,15,71,25,60,113,113
45,19,63,26,56,96,96
29,27,50,26,30,58,58
28,26,44,20,30,44,44
29,30,44,25,24,43,43
47,23,67,30,49,87,87
33,24,66,26,39,71,71
38,18,64,24,50,68,68
51,20,77,28,61,107,107
40,15,69,25,55,100,100
34,24,56,20,22,53,53
43,23,64,21,41,70,70
48,18,70,28,61,110,110
47,14,78,29,85,149,149
51,17,77,27,73,127,127
67,17,76,30,75,130,130
54,21,70,24,62,119,119
40,21,67,24,63,102,102
47,25,70,25,65,118,118
47,21,71,24,59,108,108
57,20,82,26,68,114,114
53,28,86,26,63,106,106
52,26,74,26,57,95,95
45,22,70,26,50,86,86
34,17,55,20,25,45,45
33,20,58,19,46,70,70
27,26,51,20,26,40,40
34,25,58,19,31,48,48
33,24,57,19,34,56,56
29,20,55,21,32,56,56
43,19,74,24,47,83,83
40,23,73,35,63,118,118
36,23,66,29,54,97,97
46,25,69,26,59,101,101
38,21,72,27,61,106,106
42,24,63,20,38,69,69
57,23,73,24,61,105,105
61,28,85,27,72,131,131
47,25,92,34,81,144,144
38,21,52,18,46,67,67
37,17,53,17,39,59,59
34,22,54,19,42,68,68
31,26,48,20,49,76,76
38,24,56,20,58,91,91
45,25,71,30,70,120,120
52,28,73,33,79,135,135
46,21,72,33,74,127,127
52,31,72,32,68,119,119
42,27,64,23,46,79,79
35,25,53,24,58,77,77
36,22,56,26,61,99,99
42,27,53,24,50,74,74
34,31,58,21,83,89,89
41,37,60,21,128,131,131
44,31,67,23,85,111,111
32,33,53,24,66,88,88
29,35,46,21,33,54,54
44,33,59,23,46,81,81
46,39,65,28,56,101,101
48,38,65,24,58,82,82
36,26,60,23,54,79,79
34,24,53,19,49,66,66
31,29,50,20,60,83,83
36,32,55,19,57,94,94
41,34,59,20,58,100,100
42,30,63,23,57,91,91
41,29,56,24,85,118,118
35,32,55,21,62,92,92
33,33,52,19,48,58,58
43,29,59,23,43,68,68
43,31,64,24,57,83,83
47,33,69,21,54,82,82
25,33,50,21,46,63,63
38,24,54,19,54,81,81
36,31,55,21,54,68,68
32,28,57,21,44,63,63
30,27,51,21,127,148,148
26,25,45,18,77,102,102
30,17,47,16,21,40,40
27,22,39,17,27,42,42
25,25,39,18,19,35,35
28,21,41,18,30,46,46
28,25,40,16,51,79,79
31,24,44,18,24,53,53
34,22,52,16,22,44,44
35,26,56,18,35,63,63
32,31,51,20,50,70,70
29,19,47,17,30,56,56
34,22,49,18,25,49,49
29,37,45,15,49,83,83
27,32,41,20,23,35,35
33,34,45,17,23,33,36
30,30,46,17,22,44,44
32,21,47,19,25,54,54
35,33,59,24,31,53,53
32,32,67,22,37,61,61
33,30,63,19,41,59,59
40,29,63,21,45,77,77
37,34,65,17,53,85,85
34,28,67,17,51,74,74
25,35,55,19,38,60,60
34,30,69,20,44,75,75
31,37,63,21,41,73,73
35,26,68,21,54,88,88
39,22,60,21,44,71,71
30,17,53,18,42,69,69
28,43,66,13,47,69,69
31,46,60,18,34,44,46
25,37,57,21,26,35,37
28,38,51,21,30,44,44
30,37,56,22,39,67,67
34,43,61,20,33,43,43
38,39,62,19,39,60,60
48,40,60,18,38,60,60
28,36,51,18,52,62,62
32,36,58,19,53,75,75
27,35,60,17,53,71,71
32,35,60,18,62,82,82
34,34,67,22,75,97,97
40,32,57,15,58,73,73
27,30,60,17,62,75,75
26,44,55,20,59,89,89
28,31,57,19,44,64,64
27,39,57,24,50,66,66
28,27,51,24,57,75,75
32,37,60,23,52,69,69
32,37,54,22,60,85,85
26,32,45,20,50,70,70
32,30,55,22,45,66,66
30,30,50,23,52,78,78
38,30,62,24,54,77,77
34,33,63,24,49,67,67
28,39,58,21,45,56,56
35,35,55,22,47,71,71
29,31,53,16,46,61,61
34,34,58,25,47,64,64
30,45,62,22,54,78,78
32,47,65,22,58,79,79
26,52,52,22,61,84,84
28,38,51,21,62,80,80
24,36,44,17,64,83,83
25,32,41,16,60,76,76
26,32,47,19,61,77,77
28,30,48,15,60,73,73
30,47,59,20,57,72,72
27,36,52,19,49,68,68
27,34,53,19,54,75,75
24,45,50,18,67,84,84
40,60,61,21,59,84,84
31,53,54,23,52,74,74
35,38,57,22,55,70,70
26,49,61,17,49,63,63
29,37,54,18,47,58,58
26,45,52,18,46,60,60
28,33,52,16,49,63,63
27,48,51,18,55,69,69
32,52,54,22,36,67,67
40,50,70,21,72,106,106
32,37,61,19,89,118,118
33,33,59,19,135,146,146
30,35,61,18,71,94,94
33,43,71,19,81,107,107
41,49,65,18,88,116,116
30,43,54,18,72,103,103
31,38,74,19,62,87,87
30,44,67,18,57,74,74
30,45,57,19,46,68,68
37,128,81,22,58,92,128
43,79,77,15,56,81,92
28,39,54,14,44,63,63
38,45,72,17,78,100,100
35,65,76,18,80,101,101
37,41,66,18,70,104,104
32,42,61,17,67,85,85
33,46,58,19,62,86,86
29,35,55,16,58,85,85
32,62,61,16,56,86,86
46,70,68,18,50,81,81
36,51,70,19,58,90,90
34,53,75,17,64,92,92
36,88,68,18,50,80,88
46,58,69,18,56,82,82
52,60,80,20,62,93,93
49,67,84,19,56,84,84
53,59,78,17,60,87,87
42,54,77,18,89,110,110
36,74,73,19,92,114,114
36,61,70,19,82,104,104
37,87,77,20,71,96,96
31,58,56,15,61,82,82
36,80,66,17,66,91,91
41,66,73,18,68,94,94
32,54,62,19,75,102,102
33,43,70,19,62,81,81
39,31,71,22,72,97,97
34,43,66,19,83,100,100
33,39,71,16,78,101,101
31,48,56,17,57,71,71
43,66,71,19,57,73,73
52,63,82,18,57,80,80
31,53,70,18,59,77,77
45,73,79,20,59,84,84
53,67,95,22,64,94,94
39,51,78,16,79,97,97
52,87,87,20,74,100,100
51,61,81,19,67,91,91
42,38,74,18,66,83,83
40,36,70,19,63,82,82
51,48,71,20,81,109,109
39,79,68,20,91,112,112
40,62,68,14,82,108,108
43,54,58,14,71,94,94
33,66,54,13,79,91,91
33,58,60,16,60,83,83
40,66,75,18,65,89,89
46,60,73,20,65,95,95
29,50,66,20,64,87,87
33,56,76,19,58,85,85
32,67,71,16,56,82,82
39,56,77,20,51,76,76
39,65,85,19,58,82,82
46,56,81,20,59,84,84
46,62,84,20,60,82,82
52,63,84,22,63,92,92
46,67,88,20,67,90,90
48,67,80,18,63,85,85
43,55,83,18,58,85,85
42,43,80,20,61,87,87
51,50,80,21,67,95,95
32,48,76,18,65,94,94
38,44,77,20,60,83,83
40,48,75,21,63,83,83
44,46,71,19,62,85,85
49,57,72,20,54,81,81
41,53,86,20,63,93,93
